id,designer,links,description
24,Alexander_Wang,http://www.theoutnet.com/en-US/Shop/Designers/Alexander_Wang,"Alexander Wang (born December 26, 1983) is an American fashion designer and the former creative director of Balenciaga.
At age 18, he moved to New York City to attend Parsons School of Design. In 2005, after two years at Parsons, he decided to pursue the launch of his own fashion label, which predominantly began with a knitwear collection. In Fall 2007, Wang presented a complete women’s ready-to-wear collection on the New York catwalk for the first time, to critical acclaim. He won the CFDA/Vogue Fashion Fund in 2008, an honor accompanied by a $20,000 award to expand one's business. That same year, he launched his first handbag collection. In 2009, women’s T by Alexander Wang was launched, followed by Men’s T by Alexander Wang a year later. In 2009 he was recognized by his peers when he was announced as the winner of the CFDA’s Swarovski Womenswear Designer of the Year Award. Also in 2009, Wang was the recipient of the Swiss Textiles Award. His lines are now stocked globally in more than 700 stores and other venues; including, luxury department stores such as, Bloomingdale's, Barneys New York, Neiman Marcus, Bergdorf Goodman, Dover Street Market, Browns and Net-a-Porter.
"
25,Alexis,http://www.theoutnet.com/en-US/Shop/Designers/Alexis,"There is no description available for this label, but you can still click the link to see their styles!"
26,Alexis_Bittar,http://www.theoutnet.com/en-US/Shop/Designers/Alexis_Bittar,"Alexis Bittar is the CEO and Creative Designer of the eponymous jewelry company, best known for his signature Lucite bangles and high fashion runway collaborations. In 2004, Bittar was named the ""Rising Star of the Year"" by the prestigious Accessories Council of Excellence (ACE). In 2010, he won the CFDA Accessory Designer of the Year award. In November 2014, he will receive the ACE Award for Brand of the Year."
27,Alice_and_Olivia,http://www.theoutnet.com/en-US/Shop/Designers/Alice_and_Olivia,"Alice + Olivia is a New York, New York-based contemporary clothing company with designer Stacey Bendet at the helm. The global brand launched at Barneys in 2002 and is now sold in over fifty countries."
28,Altuzarra,http://www.theoutnet.com/en-US/Shop/Designers/Altuzarra,"Joseph Altuzarra is a luxury women's ready-to-wear clothing designer. He launched his brand, Altuzarra, in New York in 2008. His brand is influenced by his multicultural upbringing and his international education in fashion."
29,American_Vintage,http://www.theoutnet.com/en-US/Shop/Designers/American_Vintage,"There is no description available for this label, but you can still click the link to see their styles!"
30,Ancient_Greek_Sandals,http://www.theoutnet.com/en-US/Shop/Designers/Ancient_Greek_Sandals,"There is no description available for this label, but you can still click the link to see their styles!"
31,Anna_Sui,http://www.theoutnet.com/en-US/Shop/Designers/Anna_Sui,"Anna Sui (Traditional Chinese: ___, Simplified: ___, pinyin: Xi_o Zh“m_i, Japanese: ____) (born August 4, 1964) is an American fashion designer from Detroit. She was named one of the ""Top 5 Fashion Icons of the Decade"" and in 2009 earned the Geoffrey Beene Lifetime Achievement Award from the Council of Fashion Designers of America (CFDA), joining the ranks of Yves Saint Laurent, Giorgio Armani, Ralph Lauren, and Diane von Furstenberg. Her brand categories include several fashion lines, footwear, cosmetics, fragrances, eyewear, jewelry, accessories, home goods and a gifts line. Anna Sui products are sold through her free-standing stores and distributors around the world in over 50 countries. In 2006, Fortune estimated the collective value of Sui's fashion empire at over $400 million."
32,Anna_Karin_Karlsson,http://www.theoutnet.com/en-US/Shop/Designers/Anna_Karin_Karlsson,"There is no description available for this label, but you can still click the link to see their styles!"
33,Annelise_Michelson,http://www.theoutnet.com/en-US/Shop/Designers/Annelise_Michelson,"There is no description available for this label, but you can still click the link to see their styles!"
34,Anthony_Vaccarello,http://www.theoutnet.com/en-US/Shop/Designers/Anthony_Vaccarello,"Anthony Vaccarello is an Italian-Belgian fashion designer and currently creative director at Yves Saint Laurent. Prior to this he held the position of creative director at Versus Versace, as well as designing his own eponymous line."
35,Antik_Batik,http://www.theoutnet.com/en-US/Shop/Designers/Antik_Batik,"There is no description available for this label, but you can still click the link to see their styles!"
36,Antonio_Berardi,http://www.theoutnet.com/en-US/Shop/Designers/Antonio_Berardi,"Antonio Berardi (born 1968, Grantham, Lincolnshire, England), is a British fashion designer of Sicilian descent, known especially for his dresses. He currently shows his collection at London fashion week, but has shown at Milan and Paris in the past."
37,Anya_Hindmarch,http://www.theoutnet.com/en-US/Shop/Designers/Anya_Hindmarch,"Anya Susannah Hindmarch, CBE (born 1968) is an English fashion accessories designer who founded an eponymous company."
38,APIECE_APART,http://www.theoutnet.com/en-US/Shop/Designers/APIECE_APART,"There is no description available for this label, but you can still click the link to see their styles!"
39,Aquazzura,http://www.theoutnet.com/en-US/Shop/Designers/Aquazzura,"There is no description available for this label, but you can still click the link to see their styles!"
40,Ariat,http://www.theoutnet.com/en-US/Shop/Designers/Ariat,"Ariat International® is a premium performance footwear, apparel and accessories brand for equestrian sports and other outdoor activities, located in Union City, California. Ariat was founded by Beth Cross and Pam Parker in 1992. They saw an opportunity to revolutionize footwear for english and western riders by developing riding boots with advanced athletic shoe technology and construction to improve performance, fit and comfort both in the saddle and on the ground. The first Ariat boots shipped in 1993 to rave reviews with athletes. Performance riding apparel launched in 2004. Today, Ariat offers a full assortment of english and western riding boots and apparel, work boots and work wear, and fashion footwear for active outdoor lifestyles. With retail outlets in 42 countries, Ariat is the largest brand of riding footwear and apparel in the world."
41,Arme_De_LAmour,http://www.theoutnet.com/en-US/Shop/Designers/Arme_De_LAmour,"There is no description available for this label, but you can still click the link to see their styles!"
42,Ashish,http://www.theoutnet.com/en-US/Shop/Designers/Ashish,"There is no description available for this label, but you can still click the link to see their styles!"
